                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 1.4634,                0.59861,                 1.0278,                0.92124,                0.87331,                0.92774,                0.44545,                 1.7209,                 0.6897,                0.87913,               0.004258,               0.004258,               0.004258
                     60,                 1.4651,                0.59788,                 1.0247,                0.92161,                 0.8704,                0.92925,                0.45068,                 1.7084,                0.68581,                0.87803,               0.004159,               0.004159,               0.004159
                     61,                 1.4603,                0.59507,                 1.0264,                0.92435,                0.87564,                0.93344,                0.45174,                 1.7094,                0.67949,                0.87778,                0.00406,                0.00406,                0.00406
                     62,                 1.4549,                0.59279,                  1.023,                 0.9236,                0.87473,                 0.9343,                0.45441,                 1.6978,                0.68093,                0.87657,               0.003961,               0.003961,               0.003961
                     63,                 1.4656,                0.59893,                 1.0213,                0.92131,                0.87352,                0.93061,                0.45108,                 1.6966,                0.68265,                0.87512,               0.003862,               0.003862,               0.003862
                     64,                   1.45,                0.59206,                 1.0225,                0.92686,                0.87331,                0.92792,                0.44679,                 1.7327,                0.68499,                0.88023,               0.003763,               0.003763,               0.003763
                     65,                 1.4511,                 0.5899,                 1.0169,                0.92391,                0.88021,                0.93198,                0.44515,                 1.7048,                0.68121,                0.87529,               0.003664,               0.003664,               0.003664
                     66,                 1.4519,                0.58888,                 1.0214,                0.92474,                0.88405,                0.93475,                0.45431,                 1.6884,                0.67592,                 0.8733,               0.003565,               0.003565,               0.003565
                     67,                  1.447,                0.59032,                 1.0159,                0.92595,                 0.8768,                 0.9322,                0.44795,                 1.7214,                0.68205,                  0.878,               0.003466,               0.003466,               0.003466
                     68,                 1.4479,                0.58732,                  1.018,                0.92386,                0.87556,                0.93146,                0.45018,                 1.7037,                0.68013,                0.87573,               0.003367,               0.003367,               0.003367
